cod_ibge,municipio,sexo,idade,populacao
2300754,Amontada - CE,Total,Total,42156.0
2300754,Amontada - CE,Total,0 a 4 anos,3537.0
2300754,Amontada - CE,Total,5 a 9 anos,3601.0
2300754,Amontada - CE,Total,10 a 14 anos,3687.0
2300754,Amontada - CE,Total,15 a 19 anos,3721.0
2300754,Amontada - CE,Total,20 a 24 anos,3458.0
2300754,Amontada - CE,Total,25 a 29 anos,3404.0
2300754,Amontada - CE,Total,30 a 34 anos,3085.0
2300754,Amontada - CE,Total,35 a 39 anos,3170.0
2300754,Amontada - CE,Total,40 a 44 anos,2696.0
2300754,Amontada - CE,Total,45 a 49 anos,2330.0
2300754,Amontada - CE,Total,50 a 54 anos,2132.0
2300754,Amontada - CE,Total,55 a 59 anos,1930.0
2300754,Amontada - CE,Total,60 a 64 anos,1414.0
2300754,Amontada - CE,Total,65 a 69 anos,1101.0
2300754,Amontada - CE,Total,70 a 74 anos,1093.0
2300754,Amontada - CE,Total,75 a 79 anos,751.0
2300754,Amontada - CE,Total,80 a 84 anos,554.0
2300754,Amontada - CE,Total,85 a 89 anos,287.0
2300754,Amontada - CE,Total,90 a 94 anos,137.0
2300754,Amontada - CE,Total,95 a 99 anos,57.0
2300754,Amontada - CE,Total,100 anos ou mais,11.0
2300804,Antonina do Norte - CE,Total,Total,7245.0
2300804,Antonina do Norte - CE,Total,0 a 4 anos,422.0
2300804,Antonina do Norte - CE,Total,5 a 9 anos,464.0
2300804,Antonina do Norte - CE,Total,10 a 14 anos,580.0
2300804,Antonina do Norte - CE,Total,15 a 19 anos,601.0
2300804,Antonina do Norte - CE,Total,20 a 24 anos,587.0
2300804,Antonina do Norte - CE,Total,25 a 29 anos,456.0
2300804,Antonina do Norte - CE,Total,30 a 34 anos,463.0
2300804,Antonina do Norte - CE,Total,35 a 39 anos,482.0
2300804,Antonina do Norte - CE,Total,40 a 44 anos,505.0
2300804,Antonina do Norte - CE,Total,45 a 49 anos,515.0
2300804,Antonina do Norte - CE,Total,50 a 54 anos,440.0
2300804,Antonina do Norte - CE,Total,55 a 59 anos,369.0
2300804,Antonina do Norte - CE,Total,60 a 64 anos,328.0
2300804,Antonina do Norte - CE,Total,65 a 69 anos,275.0
2300804,Antonina do Norte - CE,Total,70 a 74 anos,261.0
