cod_ibge,municipio,ano,idade_mae,nascimentos
2300309,Acopiara - CE,2015,35 a 39 anos,50.0
2300309,Acopiara - CE,2015,40 a 44 anos,9.0
2300309,Acopiara - CE,2015,45 a 49 anos,1.0
2300309,Acopiara - CE,2015,50 anos ou mais,
2300309,Acopiara - CE,2015,Ignorada,5.0
2300309,Acopiara - CE,2016,Total,570.0
2300309,Acopiara - CE,2016,Menos de 15 anos,1.0
2300309,Acopiara - CE,2016,15 a 19 anos,112.0
2300309,Acopiara - CE,2016,20 a 24 anos,153.0
2300309,Acopiara - CE,2016,25 a 29 anos,138.0
2300309,Acopiara - CE,2016,30 a 34 anos,107.0
2300309,Acopiara - CE,2016,35 a 39 anos,42.0
2300309,Acopiara - CE,2016,40 a 44 anos,14.0
2300309,Acopiara - CE,2016,45 a 49 anos,1.0
2300309,Acopiara - CE,2016,50 anos ou mais,
2300309,Acopiara - CE,2016,Ignorada,2.0
2300309,Acopiara - CE,2017,Total,565.0
2300309,Acopiara - CE,2017,Menos de 15 anos,5.0
2300309,Acopiara - CE,2017,15 a 19 anos,103.0
2300309,Acopiara - CE,2017,20 a 24 anos,175.0
2300309,Acopiara - CE,2017,25 a 29 anos,114.0
2300309,Acopiara - CE,2017,30 a 34 anos,95.0
2300309,Acopiara - CE,2017,35 a 39 anos,53.0
2300309,Acopiara - CE,2017,40 a 44 anos,16.0
2300309,Acopiara - CE,2017,45 a 49 anos,
2300309,Acopiara - CE,2017,50 anos ou mais,1.0
2300309,Acopiara - CE,2017,Ignorada,3.0
2300309,Acopiara - CE,2018,Total,587.0
2300309,Acopiara - CE,2018,Menos de 15 anos,2.0
2300309,Acopiara - CE,2018,15 a 19 anos,101.0
2300309,Acopiara - CE,2018,20 a 24 anos,141.0
2300309,Acopiara - CE,2018,25 a 29 anos,147.0
2300309,Acopiara - CE,2018,30 a 34 anos,119.0
2300309,Acopiara - CE,2018,35 a 39 anos,54.0
2300309,Acopiara - CE,2018,40 a 44 anos,13.0
2300309,Acopiara - CE,2018,45 a 49 anos,
2300309,Acopiara - CE,2018,50 anos ou mais,1.0
2300309,Acopiara - CE,2018,Ignorada,9.0
2300309,Acopiara - CE,2019,Total,620.0
2300309,Acopiara - CE,2019,Menos de 15 anos,7.0
2300309,Acopiara - CE,2019,15 a 19 anos,101.0
2300309,Acopiara - CE,2019,20 a 24 anos,143.0
2300309,Acopiara - CE,2019,25 a 29 anos,143.0
2300309,Acopiara - CE,2019,30 a 34 anos,122.0
2300309,Acopiara - CE,2019,35 a 39 anos,75.0
2300309,Acopiara - CE,2019,40 a 44 anos,22.0
2300309,Acopiara - CE,2019,45 a 49 anos,2.0
2300309,Acopiara - CE,2019,50 anos ou mais,
2300309,Acopiara - CE,2019,Ignorada,5.0
2300408,Aiuaba - CE,2014,Total,147.0
2300408,Aiuaba - CE,2014,Menos de 15 anos,3.0
2300408,Aiuaba - CE,2014,15 a 19 anos,38.0
2300408,Aiuaba - CE,2014,20 a 24 anos,33.0
2300408,Aiuaba - CE,2014,25 a 29 anos,33.0
2300408,Aiuaba - CE,2014,30 a 34 anos,21.0
2300408,Aiuaba - CE,2014,35 a 39 anos,14.0
2300408,Aiuaba - CE,2014,40 a 44 anos,4.0
2300408,Aiuaba - CE,2014,45 a 49 anos,1.0
2300408,Aiuaba - CE,2014,50 anos ou mais,
2300408,Aiuaba - CE,2014,Ignorada,
2300408,Aiuaba - CE,2015,Total,166.0
2300408,Aiuaba - CE,2015,Menos de 15 anos,3.0
2300408,Aiuaba - CE,2015,15 a 19 anos,31.0
2300408,Aiuaba - CE,2015,20 a 24 anos,38.0
2300408,Aiuaba - CE,2015,25 a 29 anos,48.0
2300408,Aiuaba - CE,2015,30 a 34 anos,28.0
2300408,Aiuaba - CE,2015,35 a 39 anos,16.0
2300408,Aiuaba - CE,2015,40 a 44 anos,2.0
2300408,Aiuaba - CE,2015,45 a 49 anos,
2300408,Aiuaba - CE,2015,50 anos ou mais,
2300408,Aiuaba - CE,2015,Ignorada,
2300408,Aiuaba - CE,2016,Total,178.0
2300408,Aiuaba - CE,2016,Menos de 15 anos,
2300408,Aiuaba - CE,2016,15 a 19 anos,30.0
2300408,Aiuaba - CE,2016,20 a 24 anos,41.0
2300408,Aiuaba - CE,2016,25 a 29 anos,47.0
2300408,Aiuaba - CE,2016,30 a 34 anos,26.0
2300408,Aiuaba - CE,2016,35 a 39 anos,28.0
2300408,Aiuaba - CE,2016,40 a 44 anos,5.0
2300408,Aiuaba - CE,2016,45 a 49 anos,1.0
2300408,Aiuaba - CE,2016,50 anos ou mais,
2300408,Aiuaba - CE,2016,Ignorada,
2300408,Aiuaba - CE,2017,Total,180.0
2300408,Aiuaba - CE,2017,Menos de 15 anos,
2300408,Aiuaba - CE,2017,15 a 19 anos,37.0
2300408,Aiuaba - CE,2017,20 a 24 anos,58.0
2300408,Aiuaba - CE,2017,25 a 29 anos,48.0
2300408,Aiuaba - CE,2017,30 a 34 anos,23.0
2300408,Aiuaba - CE,2017,35 a 39 anos,12.0
2300408,Aiuaba - CE,2017,40 a 44 anos,2.0
2300408,Aiuaba - CE,2017,45 a 49 anos,
2300408,Aiuaba - CE,2017,50 anos ou mais,
2300408,Aiuaba - CE,2017,Ignorada,
2300408,Aiuaba - CE,2018,Total,195.0
2300408,Aiuaba - CE,2018,Menos de 15 anos,3.0
2300408,Aiuaba - CE,2018,15 a 19 anos,35.0
2300408,Aiuaba - CE,2018,20 a 24 anos,50.0
2300408,Aiuaba - CE,2018,25 a 29 anos,41.0
