NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Unidade de Medida (Código);Unidade de Medida;Valor
6;Município;2301109;Aracati - CE;9324;População residente estimada;2014;2014;45;Pessoas;72248
6;Município;2301109;Aracati - CE;9324;População residente estimada;2015;2015;45;Pessoas;72727
6;Município;2301109;Aracati - CE;9324;População residente estimada;2016;2016;45;Pessoas;73188
6;Município;2301109;Aracati - CE;9324;População residente estimada;2017;2017;45;Pessoas;73629
6;Município;2301109;Aracati - CE;9324;População residente estimada;2018;2018;45;Pessoas;74084
6;Município;2301109;Aracati - CE;9324;População residente estimada;2019;2019;45;Pessoas;74547
6;Município;2301109;Aracati - CE;9324;População residente estimada;2020;2020;45;Pessoas;74975
6;Município;2301109;Aracati - CE;9324;População residente estimada;2021;2021;45;Pessoas;75392
6;Município;2301109;Aracati - CE;9324;População residente estimada;2024;2024;45;Pessoas;78752
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2014;2014;45;Pessoas;26062
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2015;2015;45;Pessoas;26134
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2016;2016;45;Pessoas;26203
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2017;2017;45;Pessoas;26269
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2018;2018;45;Pessoas;26437
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2019;2019;45;Pessoas;26469
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2020;2020;45;Pessoas;26535
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2021;2021;45;Pessoas;26600
6;Município;2301208;Aracoiaba - CE;9324;População residente estimada;2024;2024;45;Pessoas;26696
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2014;2014;45;Pessoas;10750
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2015;2015;45;Pessoas;10775
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2016;2016;45;Pessoas;10800
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2017;2017;45;Pessoas;10823
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2018;2018;45;Pessoas;10901
6;Município;2301257;Ararendá - CE;9324;População residente estimada;2019;2019;45;Pessoas;10935
