NC;NN;D1C;D1N;D2C;D2N;D3C;D3N;D4C;D4N;D5C;D5N;D6C;D6N;D7C;D7N;D8C;D8N;MC;MN;V
Nível Territorial (Código);Nível Territorial;Brasil, Unidade da Federação e Município (Código);Brasil, Unidade da Federação e Município;Variável (Código);Variável;Ano (Código);Ano;Mês do nascimento (Código);Mês do nascimento;Sexo (Código);Sexo;Local do nascimento (Código);Local do nascimento;Número de nascidos por parto (Código);Número de nascidos por parto;Idade da mãe na ocasião do parto (Código);Idade da mãe na ocasião do parto;Unidade de Medida (Código);Unidade de Medida;Valor
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;104539;Ignorado;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;6
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;104539;Ignorado;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;-
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;104539;Ignorado;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;-
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2014;2014;0;Total;104539;Ignorado;0;Total;0;Total;5413;Ignorada;45;Pessoas;112
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;2945445
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;23136
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;494829
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;731841
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;713106
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;590394
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;305989
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;70686
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;4395
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;388
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;0;Total;0;Total;0;Total;5413;Ignorada;45;Pessoas;10681
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;0;Total;45;Pessoas;1508127
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;11658
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;253599
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;374883
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;365633
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;302217
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;156269
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;35919
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;2250
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;187
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;4;Homens;0;Total;0;Total;5413;Ignorada;45;Pessoas;5512
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;0;Total;45;Pessoas;1437115
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;11478
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;241192
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;356909
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;347423
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;288140
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;149705
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;34758
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;2145
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;201
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;5;Mulheres;0;Total;0;Total;5413;Ignorada;45;Pessoas;5164
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;0;Total;45;Pessoas;203
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;-
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;38
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;49
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;50
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;37
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;15
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;9
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;-
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;-
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2015;2015;0;Total;104539;Ignorado;0;Total;0;Total;5413;Ignorada;45;Pessoas;5
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;0;Total;45;Pessoas;2793995
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;20931
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;454859
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;702826
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;666926
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;559685
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;302568
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;71025
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;4256
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;339
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;0;Total;0;Total;0;Total;5413;Ignorada;45;Pessoas;10580
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;0;Total;45;Pessoas;1430928
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;10762
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;234085
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;360215
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;341955
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;286223
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;154122
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;35898
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;2132
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;169
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;4;Homens;0;Total;0;Total;5413;Ignorada;45;Pessoas;5367
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;0;Total;45;Pessoas;1362817
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5370;Menos de 15 anos;45;Pessoas;10166
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5414;15 a 19 anos;45;Pessoas;220731
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5376;20 a 24 anos;45;Pessoas;342543
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5382;25 a 29 anos;45;Pessoas;324921
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5388;30 a 34 anos;45;Pessoas;273421
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5394;35 a 39 anos;45;Pessoas;148421
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5400;40 a 44 anos;45;Pessoas;35122
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5406;45 a 49 anos;45;Pessoas;2124
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5412;50 anos ou mais;45;Pessoas;170
1;Brasil;1;Brasil;218;Nascidos vivos ocorridos no ano;2016;2016;0;Total;5;Mulheres;0;Total;0;Total;5413;Ignorada;45;Pessoas;5198
